id,name,discount_percentage,image
1,Atlantis,20,https://www.hotelnewsme.com/wp-content/uploads/2023/09/Corporate_Qatar_Press_Release-1536x768.jpg
2,Oceanview Resort,20,https://assets-global.website-files.com/5de35b5783c9d790ffea68ae/643832ddeb5e6353d4f7f22a_The%20Edition_2400x1600_10%20copy.jpg
3,Sunset Inn & Suites,10,https://assets-global.website-files.com/5de35b5783c9d790ffea68ae/625ffe83a70430096e7ebbcd_Beach.jpg
4,Mountain Retreat Hotel,15,https://assets-global.website-files.com/5de35b5783c9d790ffea68ae/6480802d937331e523a68c03_Erth-43.jpg
5,Palm Paradise Resort,20,https://assets-global.website-files.com/5de35b5783c9d790ffea68ae/6190acaf7830bf107280a571_Shangri-La_Abu-Dhabi_Beach.jpg
6,Golden Sands Hotel,20,https://assets-global.website-files.com/5de35b5783c9d790ffea68ae/6454927a62aa3d16219e6a9a_2400x1600_Yas%20Beach_08.png
7,Riverside Lodge,15,https://assets-global.website-files.com/5de35b5783c9d790ffea68ae/64798d937c2d59b264b69362_Address%20Skyview_2400x1600_06%20copy.jpg
8,Starlight Hotel & Spa,20,https://assets-global.website-files.com/5de35b5783c9d790ffea68ae/63c135a7b5d99fd45fb81585_DXBPJHI_3030%20copy.jpg
9,Blue Horizon Resort,10,https://assets-global.website-files.com/5de35b5783c9d790ffea68ae/643f821bdf56f241fdff0d98_Sofitel_06.09.21%20(3%20of%2033)%20copy.jpg
10,Whispering Pines Inn,10,https://assets-global.website-files.com/5de35b5783c9d790ffea68ae/6225bae2bdb3c9d75a0d00d0_6A374BEE-D147-4847-8D77-BDBCF99419D6%20copy.jpg
11,Emerald Bay Hotel,20,https://assets-global.website-files.com/5de35b5783c9d790ffea68ae/60c9d92801e4fc49f0140419_Privilee_SC_Couples%20(3%20of%2050)%20copy.jpg
12,Sunflower Suites,15,https://assets-global.website-files.com/5de35b5783c9d790ffea68ae/642bf2a8d025df2d503c7349_Doubletree%20by%20Hilton%20Al%20Marjan_11_2400x1600%20copy.jpeg
13,Moonlight Manor,10,https://assets-global.website-files.com/5de35b5783c9d790ffea68ae/6346b821c2947d5a563b55a2_Movenpick-RAK_Resort_topshot2.jpg
14,Serenity Inn & Spa,20,https://assets-global.website-files.com/5de35b5783c9d790ffea68ae/643832ddeb5e6353d4f7f22a_The%20Edition_2400x1600_10%20copy.jpg
15,Cascade Falls Lodge,15,https://assets-global.website-files.com/5de35b5783c9d790ffea68ae/625ffe83a70430096e7ebbcd_Beach.jpg
16,Harborview Hotel,20,https://assets-global.website-files.com/5de35b5783c9d790ffea68ae/6480802d937331e523a68c03_Erth-43.jpg
17,Lakeside Retreat,10,https://assets-global.website-files.com/5de35b5783c9d790ffea68ae/6190acaf7830bf107280a571_Shangri-La_Abu-Dhabi_Beach.jpg
18,Pinecrest Inn,20,https://assets-global.website-files.com/5de35b5783c9d790ffea68ae/6454927a62aa3d16219e6a9a_2400x1600_Yas%20Beach_08.png
19,Silver Moon Hotel,15,https://assets-global.website-files.com/5de35b5783c9d790ffea68ae/64798d937c2d59b264b69362_Address%20Skyview_2400x1600_06%20copy.jpg
20,Coral Cove Resort,15,https://assets-global.website-files.com/5de35b5783c9d790ffea68ae/643f821bdf56f241fdff0d98_Sofitel_06.09.21%20(3%20of%2033)%20copy.jpg
21,Wilderness Lodge,20,https://assets-global.website-files.com/5de35b5783c9d790ffea68ae/6225bae2bdb3c9d75a0d00d0_6A374BEE-D147-4847-8D77-BDBCF99419D6%20copy.jpg
